url,title,location,price,price_numeric,original_price,original_price_numeric,savings,property_type,updated_date,posted_by,description,installment_info,specifications_text,spec_carport,spec_daya_listrik,spec_garasi,spec_jumlah_lantai,spec_kamar_mandi,spec_kamar_mandi_pembantu,spec_kamar_tidur,spec_kamar_tidur_pembantu,spec_kondisi_properti,spec_luas_bangunan,spec_luas_tanah,spec_sertifikat,description,installment_info,location,original_price,original_price_numeric,posted_by,price,price_numeric,property_type,savings,title,updated_date,url
https://www.rumah123.com/properti/jakarta-barat/hos38947189/,Rumah Green Lake City 90 M2 Full Renov - Semifurnished !,"Green Lake City, Jakarta Barat","Rp 2,5 Miliar",2500000000.0,,,,Rumah,13 Mei 2025,Steve Leo,"Rumah Dijual
Greenlake City

Luas tanah         90 m2
Luas bangunan 120 m2
2 Lantai
Kamar tidur 4+1
Kamar mandi 3+1

2,5M WAJIB NEGO!

Steve Leo
0812 1968 9xxx",,kamar tidur: 4; kamar mandi: 3; luas tanah: 90 m²; luas bangunan: 120 m²; carport: 2; sertifikat: SHM; daya listrik: Lainnya; jumlah lantai: 2; kondisi properti: Sudah Renovasi,2,Lainnya,,2,3,,4,,Sudah Renovasi,120 m²,90 m²,SHM,"Rumah Dijual
Greenlake City

Luas tanah         90 m2
Luas bangunan 120 m2
2 Lantai
Kamar tidur 4+1
Kamar mandi 3+1

2,5M WAJIB NEGO!

Steve Leo
0812 1968 9xxx",,"Green Lake City, Jakarta Barat",,,Steve Leo,"Rp 2,5 Miliar",2500000000.0,Rumah,,Rumah Green Lake City 90 M2 Full Renov - Semifurnished !,13 Mei 2025,https://www.rumah123.com/properti/jakarta-barat/hos38947189/
https://www.rumah123.com/properti/jakarta-utara/hos19474412/,Rumah Muara Karang - Blok Favorit - Bebas Banjir !,"Muara Karang, Jakarta Utara","Rp 4,95 Miliar",4950000000.0,,,,Rumah,15 Mei 2025,Steve Leo,"Rumah dijual
Muara Karang BLOK FAVORIT

Luas tanah 160 m2
1,5 Lantai
Bangunan Mandiri !

Kamar tidur  3 + 1
Kamar mandi 2 + 1

Hadap Selatan

4,95M MASIH NEGO !

Steve Leo
0812 1968 9xxx
Infinite Estate PIK",Cicilan mulai Rp 25 Jutaan/bulan,kamar tidur: 3; kamar mandi: 2; luas tanah: 160 m²; luas bangunan: 150 m²; sertifikat: SHM; daya listrik: Lainnya; jumlah lantai: 1; kondisi properti: Bagus,,Lainnya,,1,2,,3,,Bagus,150 m²,160 m²,SHM,"Rumah dijual
Muara Karang BLOK FAVORIT

Luas tanah 160 m2
1,5 Lantai
Bangunan Mandiri !

Kamar tidur  3 + 1
Kamar mandi 2 + 1

Hadap Selatan

4,95M MASIH NEGO !

Steve Leo
0812 1968 9xxx
Infinite Estate PIK",Cicilan mulai Rp 25 Jutaan/bulan,"Muara Karang, Jakarta Utara",,,Steve Leo,"Rp 4,95 Miliar",4950000000.0,Rumah,,Rumah Muara Karang - Blok Favorit - Bebas Banjir !,15 Mei 2025,https://www.rumah123.com/properti/jakarta-utara/hos19474412/
https://www.rumah123.com/properti/jakarta-barat/hos15922474/,Rumah Permata Buana - Ukuran favorit Jarang Ada - Siap Huni !,"Permata Buana, Jakarta Barat","Rp 7,7 Miliar",7700000000.0,Rp 7.9 M,7900000000.0,Rp 201 Jutaan,Rumah,14 Mei 2025,Steve Leo,"Rumah Permata Buana

Luas tanah        200 m2 - Dimensi 10x20
Luas bangunan 312 m2
2 Lantai

Kamar tidur 4+1
Kamar mandi 2+1
Sertipikat Hak Milik

Kondisi Semifurnished

7,7M Nego!!

Steve Leo
Infinite Estate PIK
081219689xxx",,kamar tidur: 4; kamar mandi: 2; luas tanah: 200 m²; luas bangunan: 312 m²; sertifikat: SHM; daya listrik: 4400 Watt; kamar tidur pembantu: 1; kamar mandi pembantu: 1; jumlah lantai: 2; kondisi properti: Sudah Renovasi,,4400 Watt,,2,2,1,4,1,Sudah Renovasi,312 m²,200 m²,SHM,"Rumah Permata Buana

Luas tanah        200 m2 - Dimensi 10x20
Luas bangunan 312 m2
2 Lantai

Kamar tidur 4+1
Kamar mandi 2+1
Sertipikat Hak Milik

Kondisi Semifurnished

7,7M Nego!!

Steve Leo
Infinite Estate PIK
081219689xxx",,"Permata Buana, Jakarta Barat",Rp 7.9 M,7900000000.0,Steve Leo,"Rp 7,7 Miliar",7700000000.0,Rumah,Rp 201 Jutaan,Rumah Permata Buana - Ukuran favorit Jarang Ada - Siap Huni !,14 Mei 2025,https://www.rumah123.com/properti/jakarta-barat/hos15922474/
https://www.rumah123.com/properti/jakarta-selatan/hos39105727/,Rumah Baru Siap Huni Bangunan Fresh Dekat@supomo,"Tebet, Jakarta Selatan","Rp 3,35 Miliar",3350000000.0,,,,Rumah,15 Mei 2025,Widodo HomesID,"-Banguan Fresh 

Luas Tanah : 147
Luas Bangunan : 180
Kamar Tidur : 4
Kamar Mandi : 4
Lantai : 2
Surat : Shm
Listrik : 2200 Watt
Carport : 2",Cicilan mulai Rp 17 Jutaan/bulan,kamar tidur: 4; kamar mandi: 3; luas tanah: 149 m²; luas bangunan: 180 m²; carport: 2; sertifikat: SHM; daya listrik: Lainnya; kamar mandi pembantu: 1; jumlah lantai: 2; kondisi properti: Bagus,2,Lainnya,,2,3,1,4,,Bagus,180 m²,149 m²,SHM,"-Banguan Fresh 

Luas Tanah : 147
Luas Bangunan : 180
Kamar Tidur : 4
Kamar Mandi : 4
Lantai : 2
Surat : Shm
Listrik : 2200 Watt
Carport : 2",Cicilan mulai Rp 17 Jutaan/bulan,"Tebet, Jakarta Selatan",,,Widodo HomesID,"Rp 3,35 Miliar",3350000000.0,Rumah,,Rumah Baru Siap Huni Bangunan Fresh Dekat@supomo,15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos39105727/
https://www.rumah123.com/properti/jakarta-selatan/hos19244690/,Dijual Cepat Rumah Cantik Murah Tanah Luas 404 Meter Harga 10 M Nego Tipis Dekat Sekolah Internasional Dan Cocok Untuk Investasi Area Kemang Pejaten Ampera Jeruk Purut Dekat Kebayoran Baru Kemang Jakarta Selatan,"Kemang, Jakarta Selatan",Rp 10 Miliar,10000000000.0,Rp 12 M,12000000000.0,Rp 2000 Miliaran,Rumah,15 Mei 2025,Salsa,"Dijual Cepat rumah murah tanah luas 404 meter harga 8 M.nego dekat sekolah internasional dan cocok untuk investasi area kemang Jakarta Selatan
 
Luas tanah 404 m
Luas bangunan 200 m
Kamar tidur 3
Kamar mandi 2
Taman
Carport 4-5 mobil 

Harga Rp.10 M.nego tipis",Cicilan mulai Rp 51 Jutaan/bulan,kamar tidur: 3; kamar mandi: 2; luas tanah: 404 m²; luas bangunan: 250 m²; carport: 5; sertifikat: SHM; daya listrik: 5500 Watt; kamar tidur pembantu: 1; kamar mandi pembantu: 1; jumlah lantai: 1; kondisi properti: Renovasi Minimum,5,5500 Watt,,1,2,1,3,1,Renovasi Minimum,250 m²,404 m²,SHM,"Dijual Cepat rumah murah tanah luas 404 meter harga 8 M.nego dekat sekolah internasional dan cocok untuk investasi area kemang Jakarta Selatan
 
Luas tanah 404 m
Luas bangunan 200 m
Kamar tidur 3
Kamar mandi 2
Taman
Carport 4-5 mobil 

Harga Rp.10 M.nego tipis",Cicilan mulai Rp 51 Jutaan/bulan,"Kemang, Jakarta Selatan",Rp 12 M,12000000000.0,Salsa,Rp 10 Miliar,10000000000.0,Rumah,Rp 2000 Miliaran,Dijual Cepat Rumah Cantik Murah Tanah Luas 404 Meter Harga 10 M Nego Tipis Dekat Sekolah Internasional Dan Cocok Untuk Investasi Area Kemang Pejaten Ampera Jeruk Purut Dekat Kebayoran Baru Kemang Jakarta Selatan,15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos19244690/
https://www.rumah123.com/properti/jakarta-timur/hos14806975/,Rumah Mewah Lokasi Premium   Selangkah Ke Aeon Mall Dan Ikea Jakarta Garden City Cakung  Jakarta Timur,"Jakarta Garden City, Jakarta Timur","Rp 2,8 Miliar",2800000000.0,,,,Rumah,13 Mei 2025,Lastry,"Miliki Hunian Dgn Banyak Keunggulan :
Lokasi Premium  
The Entrance, 
The Main Boulevard, 
The Clubhouse Mewah 
Selangkah Ke AEON Mall 

Fasilitas Lainnya : 
Dekat Dengan Akses 
Tol Cakung Timur, 
Tol Pulogebang -Sunter-Semanan 
Mall Aeon Dan Ikea, Lokasi Terdepan Dan Premium, Bebas Banjir, Mie Gacoan, Mcdonald, Sambal Bakar, Pizza Hut, A&W, Richeese, Pasar Modern, Food Garden, Ruko Komerdial Area, Sekolah Global Mandiri, Sis ( Singapore Intercultural School)



Segera Hubungi :
Lastry, 
0857 7228 8xxx
0812 1030 5xxx

Spesialist Area  Jakarta Garden City 
Buy-Sell -Rent",,kamar tidur: 4; kamar mandi: 3; luas tanah: 105 m²; luas bangunan: 140 m²; carport: 2; sertifikat: PPJB; daya listrik: 3500 Watt; kamar tidur pembantu: 1; kamar mandi pembantu: 1; jumlah lantai: 2; kondisi properti: Baru,2,3500 Watt,,2,3,1,4,1,Baru,140 m²,105 m²,PPJB,"Miliki Hunian Dgn Banyak Keunggulan :
Lokasi Premium  
The Entrance, 
The Main Boulevard, 
The Clubhouse Mewah 
Selangkah Ke AEON Mall 

Fasilitas Lainnya : 
Dekat Dengan Akses 
Tol Cakung Timur, 
Tol Pulogebang -Sunter-Semanan 
Mall Aeon Dan Ikea, Lokasi Terdepan Dan Premium, Bebas Banjir, Mie Gacoan, Mcdonald, Sambal Bakar, Pizza Hut, A&W, Richeese, Pasar Modern, Food Garden, Ruko Komerdial Area, Sekolah Global Mandiri, Sis ( Singapore Intercultural School)



Segera Hubungi :
Lastry, 
0857 7228 8xxx
0812 1030 5xxx

Spesialist Area  Jakarta Garden City 
Buy-Sell -Rent",,"Jakarta Garden City, Jakarta Timur",,,Lastry,"Rp 2,8 Miliar",2800000000.0,Rumah,,Rumah Mewah Lokasi Premium   Selangkah Ke Aeon Mall Dan Ikea Jakarta Garden City Cakung  Jakarta Timur,13 Mei 2025,https://www.rumah123.com/properti/jakarta-timur/hos14806975/
https://www.rumah123.com/properti/jakarta-utara/hos12174955/,Rumah Mewah PIK American Classic Full Marmer (1084m),"Pantai Indah Kapuk, Jakarta Utara",Rp 40 Miliar,40000000000.0,Rp 48 M,48000000000.0,5 Miliaran,Rumah,14 Mei 2025,Herry Yang - Infinite Estate,"Rumah Mewah, siap huni, full furnish, Full Marmer, lokaso bagus, komplek perumahan Pantai Indah Kapuk PIK

Herry Yang
Hp/Wa. 0856 8888 xxx",,kamar tidur: 5; kamar mandi: 3; luas tanah: 1084 m²; luas bangunan: 1000 m²; sertifikat: SHM; daya listrik: 4400 Watt; kamar mandi pembantu: 1; jumlah lantai: 2; kondisi properti: Bagus,,4400 Watt,,2,3,1,5,,Bagus,1000 m²,1084 m²,SHM,"Rumah Mewah, siap huni, full furnish, Full Marmer, lokaso bagus, komplek perumahan Pantai Indah Kapuk PIK

Herry Yang
Hp/Wa. 0856 8888 xxx",,"Pantai Indah Kapuk, Jakarta Utara",Rp 48 M,48000000000.0,Herry Yang - Infinite Estate,Rp 40 Miliar,40000000000.0,Rumah,5 Miliaran,Rumah Mewah PIK American Classic Full Marmer (1084m),14 Mei 2025,https://www.rumah123.com/properti/jakarta-utara/hos12174955/
https://www.rumah123.com/properti/jakarta-utara/hos39157555/,Rumah Bagus Bukit Gading Villa Kelapa Gading Full Furnished SHM,"Kelapa Gading, Jakarta Utara","Rp 24,5 Miliar",24500000000.0,,,,Rumah,15 Mei 2025,Hera Kwan,"Dijual cepat & murah 
Rumah modern classic siap huni /sdh rapi
@ Bukit Gd Villa 

LT.  504 m2 
LB. 850 m2
2 lantai
4 +1  kmr tidur
3 +1  kmr mandi 
Ruang keluarga 
Ruang tamu 
Kitchen set 
Lantai marmer
Furnished rapi 
5 bh AC 
Hadap  Selatan-Barat
SHM 
Carport -  5 mobil
Row jln dpn rmh  3 mobil

Hrg jual :  24.5 Millyar 
(nego sampe deal) 


Hub. 
Hera - GPS",Cicilan mulai Rp 126 Jutaan/bulan,kamar tidur: 4; kamar mandi: 3; luas tanah: 504 m²; luas bangunan: 850 m²; carport: 5; sertifikat: SHM; daya listrik: Lainnya; kamar tidur pembantu: 1; kamar mandi pembantu: 1; garasi: 2; jumlah lantai: 2; kondisi properti: Bagus,5,Lainnya,2,2,3,1,4,1,Bagus,850 m²,504 m²,SHM,"Dijual cepat & murah 
Rumah modern classic siap huni /sdh rapi
@ Bukit Gd Villa 

LT.  504 m2 
LB. 850 m2
2 lantai
4 +1  kmr tidur
3 +1  kmr mandi 
Ruang keluarga 
Ruang tamu 
Kitchen set 
Lantai marmer
Furnished rapi 
5 bh AC 
Hadap  Selatan-Barat
SHM 
Carport -  5 mobil
Row jln dpn rmh  3 mobil

Hrg jual :  24.5 Millyar 
(nego sampe deal) 


Hub. 
Hera - GPS",Cicilan mulai Rp 126 Jutaan/bulan,"Kelapa Gading, Jakarta Utara",,,Hera Kwan,"Rp 24,5 Miliar",24500000000.0,Rumah,,Rumah Bagus Bukit Gading Villa Kelapa Gading Full Furnished SHM,15 Mei 2025,https://www.rumah123.com/properti/jakarta-utara/hos39157555/
https://www.rumah123.com/properti/jakarta-selatan/hos39124900/,Dijual Cepat Rumah Mewah Siap Huni Private Lift Harga Rp.51 M Nego Area Mentri Pejabat Ambbasy Dekat Perkantoran Dan Dekat Gatot Subroto Dan Sudirman Dan Dekat Menteng Area Mega Kuningan Jakarta Selatanarea Mentri & Dubes,"Mega Kuningan, Jakarta Selatan",Rp 51 Miliar,51000000000.0,,,,Rumah,15 Mei 2025,Salsa,"Dijual Cepat Rumah mewah  Siap Huni Private Lift Harga Rp.50,9 M Area  Mentri Pejabat Ambbasy Dekat Perkantoran Dan Dekat Gatot Subroto Dan Sudirman Dan Dekat Menteng Area Mega 
Kuningan jakarta selatan
Area mentri & Dubes

Luas tanah 540 meter 
Luas bangunan 1100 meter 
Kamar tidur 4
Kamar mandi 4
Kamar asisten 2
Kamar mandi 2
Swimming poil
Private lift
Lantai full slab marmer
Garasi 3 mobil
Carport 2 mobil
SHM IMB
Harga 51 M Nego",Cicilan mulai Rp 262 Jutaan/bulan,kamar tidur: 4; kamar mandi: 4; luas tanah: 540 m²; luas bangunan: 1100 m²; carport: 5; sertifikat: SHM; daya listrik: 33000 Watt; kamar tidur pembantu: 1; kamar mandi pembantu: 2; jumlah lantai: 3; kondisi properti: Bagus,5,33000 Watt,,3,4,2,4,1,Bagus,1100 m²,540 m²,SHM,"Dijual Cepat Rumah mewah  Siap Huni Private Lift Harga Rp.50,9 M Area  Mentri Pejabat Ambbasy Dekat Perkantoran Dan Dekat Gatot Subroto Dan Sudirman Dan Dekat Menteng Area Mega 
Kuningan jakarta selatan
Area mentri & Dubes

Luas tanah 540 meter 
Luas bangunan 1100 meter 
Kamar tidur 4
Kamar mandi 4
Kamar asisten 2
Kamar mandi 2
Swimming poil
Private lift
Lantai full slab marmer
Garasi 3 mobil
Carport 2 mobil
SHM IMB
Harga 51 M Nego",Cicilan mulai Rp 262 Jutaan/bulan,"Mega Kuningan, Jakarta Selatan",,,Salsa,Rp 51 Miliar,51000000000.0,Rumah,,Dijual Cepat Rumah Mewah Siap Huni Private Lift Harga Rp.51 M Nego Area Mentri Pejabat Ambbasy Dekat Perkantoran Dan Dekat Gatot Subroto Dan Sudirman Dan Dekat Menteng Area Mega Kuningan Jakarta Selatanarea Mentri & Dubes,15 Mei 2025,https://www.rumah123.com/properti/jakarta-selatan/hos39124900/
https://www.rumah123.com/properti/jakarta-barat/hos19478420/,Rumah Duri Kepa Siap Huni Strategis 3 Lantai Classic Jalan 2 Mobil,"Duri Kepa, Jakarta Barat","Rp 2,39 Miliar",2390000000.0,Rp 2.5 M,2500000000.0,Rp 100 Jutaan,Rumah,15 Mei 2025,Ignatius Irwan Hidayat,"*Dijual rumah baru
*LOKASI STRATEGIS
*DEKAT MALL TA
*DEKAT MALL CP
*DEKAT MALL CL
*PUSAT KULINER
*UNIVERSITAS TERNAMA
*SEKOLAH TERNAMA 
Lokasi : komplek duri nirmala 
Jkt - Brt
•3 UNIT
* ukuran 4 x 18 ( 3 unit )
* 3 lantai.
* 4 + 1 kamar tidur
* 4 + 1 kamar mandi
* ⁠Ada kamar tidur di lt 1
* Tempat jemuran.
* Carport 1 mobil lega
* lebar jalan 2 mobil lega
* lingkungan perumahan mewah
*high ceiling 3.1 M ( rumah adem )
*bangunan terencana dgn gambar arsitek dan sipil
*LINGKUNGAN TENANG DAN NYAMAN
NB :
* Bangunan full bata merah",Cicilan mulai Rp 12 Jutaan/bulan,kamar tidur: 4; kamar mandi: 4; luas tanah: 72 m²; luas bangunan: 180 m²; carport: 1; sertifikat: SHM; daya listrik: 3300 Watt; kamar tidur pembantu: 1; kamar mandi pembantu: 1; jumlah lantai: 3; kondisi properti: Bagus,1,3300 Watt,,3,4,1,4,1,Bagus,180 m²,72 m²,SHM,"*Dijual rumah baru
*LOKASI STRATEGIS
*DEKAT MALL TA
*DEKAT MALL CP
*DEKAT MALL CL
*PUSAT KULINER
*UNIVERSITAS TERNAMA
*SEKOLAH TERNAMA 
Lokasi : komplek duri nirmala 
Jkt - Brt
•3 UNIT
* ukuran 4 x 18 ( 3 unit )
* 3 lantai.
* 4 + 1 kamar tidur
* 4 + 1 kamar mandi
* ⁠Ada kamar tidur di lt 1
* Tempat jemuran.
* Carport 1 mobil lega
* lebar jalan 2 mobil lega
* lingkungan perumahan mewah
*high ceiling 3.1 M ( rumah adem )
*bangunan terencana dgn gambar arsitek dan sipil
*LINGKUNGAN TENANG DAN NYAMAN
NB :
* Bangunan full bata merah",Cicilan mulai Rp 12 Jutaan/bulan,"Duri Kepa, Jakarta Barat",Rp 2.5 M,2500000000.0,Ignatius Irwan Hidayat,"Rp 2,39 Miliar",2390000000.0,Rumah,Rp 100 Jutaan,Rumah Duri Kepa Siap Huni Strategis 3 Lantai Classic Jalan 2 Mobil,15 Mei 2025,https://www.rumah123.com/properti/jakarta-barat/hos19478420/
